product_key,platform,product_id,product_name,brand,category,price,base_skin_type,total_review_count,avg_rating,overall_positive_count,overall_neutral_count,overall_negative_count,overall_positive_rate,overall_neutral_rate,overall_negative_rate,skin_review_count,skin_positive_count,skin_neutral_count,skin_negative_count,skin_positive_rate,skin_neutral_rate,skin_negative_rate,skin_confidence_label,top_skin_need_tags,top_skin_concern_tags,skin_concern_code_count,has_enough_skin_reviews,caution_level,caution_message,evidence_level,evidence_weight,negative_signal_score,recommendation_score,recommendation_tier,rank_exposure_flag,review_first_flag,display_message,_sample_group
oliveyoung::A000000184368,oliveyoung,A000000184368,[모공&블랙헤드/노란티스] 티스 딥 오프 클렌징오일 320ml,티스,cleansing,20000.0,민감성,264,3.867424242424242,155,42,67,0.5871212121212122,0.1590909090909091,0.2537878787878788,5,1,0,4,0.2,0.0,0.8,참고 가능,,보습|홍조|미백,1,True,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,limited_evidence,0.7,0.56,14.17,negative_review_first,False,True,선택 피부 타입 리뷰에서 부정 신호가 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,high_negative_signal_samples
oliveyoung::A000000212570,oliveyoung,A000000212570,바이오더마 시카비오 크림+ 100ml 기획 (크림 + 40ml 본품 추가 증정),바이오더마,skincare,43000.0,건성,228,3.504385964912281,129,25,74,0.5657894736842105,0.10964912280701754,0.32456140350877194,6,2,0,4,0.3333333333333333,0.0,0.6666666666666666,참고 가능,,주름|보습|미백|각질|트러블,0,True,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,limited_evidence,0.7,0.466667,18.22,negative_review_first,False,True,선택 피부 타입 리뷰에서 부정 신호가 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,high_negative_signal_samples
oliveyoung::A000000254058,oliveyoung,A000000254058,[포켓몬 에디션]VT 리들샷100 에센스 50ml기획 (리들샷300 1ml+PDRN에센스1.5ml+포켓몬아크릴포스트잇),VT,skincare,32000.0,민감성,233,3.334763948497854,124,32,77,0.5321888412017167,0.13733905579399142,0.33047210300429186,11,4,0,7,0.36363636363636365,0.0,0.6363636363636364,참고 가능,,보습|홍조|트러블|각질|미백,4,True,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,limited_evidence,0.7,0.445455,18.55,negative_review_first,False,True,선택 피부 타입 리뷰에서 부정 신호가 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,high_negative_signal_samples
oliveyoung::A000000120938,oliveyoung,A000000120938,[10매/5종] 아비브 약산성 pH 시트 마스크 핏 10매 (어성초/부활초/아쿠아/글루타치온좀/허니),아비브,maskpack,40000.0,민감성,247,3.931174089068826,165,46,36,0.6680161943319838,0.1862348178137652,0.145748987854251,8,2,1,5,0.25,0.125,0.625,참고 가능,,미백|주름|보습|홍조|모공,0,True,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,limited_evidence,0.7,0.4375,23.74,negative_review_first,False,True,선택 피부 타입 리뷰에서 부정 신호가 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,high_negative_signal_samples
oliveyoung::A000000166586,oliveyoung,A000000166586,[단독/대용량] 라운드랩 자작나무 수분 크림 120ml 기획 (+수분패드 4매),라운드랩,skincare,42000.0,민감성,249,3.602409638554217,151,32,66,0.606425702811245,0.1285140562248996,0.26506024096385544,5,2,0,3,0.4,0.0,0.6,참고 가능,,보습|트러블|미백|모공|주름,0,True,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,limited_evidence,0.7,0.42,22.35,negative_review_first,False,True,선택 피부 타입 리뷰에서 부정 신호가 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,high_negative_signal_samples
oliveyoung::A000000237449,oliveyoung,A000000237449,[수지pick/뽀용뇽 공동개발] 아누아 피디알엔 히알루론산 수분 캡슐 미스트 100ml,아누아,skincare,35000.0,민감성,228,3.307017543859649,122,26,80,0.5350877192982456,0.11403508771929824,0.3508771929824561,10,4,0,6,0.4,0.0,0.6,참고 가능,,보습|미백|홍조|주름|트러블,0,True,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,limited_evidence,0.7,0.42,20.02,negative_review_first,False,True,선택 피부 타입 리뷰에서 부정 신호가 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,high_negative_signal_samples
oliveyoung::A000000212555,oliveyoung,A000000212555,[강력차단]식물나라 워터프루프/알로에쿨링 선 스프레이 100ml (단품/1+1/트리플기획),식물나라,suncare,14800.0,중성,294,3.697278911564626,188,27,79,0.6394557823129252,0.09183673469387756,0.2687074829931973,5,2,0,3,0.4,0.0,0.6,참고 가능,,주름|모공|미백|보습,1,True,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,limited_evidence,0.7,0.42,23.04,negative_review_first,False,True,선택 피부 타입 리뷰에서 부정 신호가 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요. (중성 피부 타입은 전반적으로 리뷰 근거가 적습니다.),high_negative_signal_samples
oliveyoung::A000000216311,oliveyoung,A000000216311,[*피지잡는 *약산성클렌저 *클렌징폼] 아벤느 클리낭스 클렌징 젤 400ml 더블 기획,아벤느,cleansing,45000.0,건성,250,3.56,150,24,76,0.6,0.096,0.304,10,4,0,6,0.4,0.0,0.6,참고 가능,,미백|각질|보습|탄력|주름,4,True,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,limited_evidence,0.7,0.42,21.92,negative_review_first,False,True,선택 피부 타입 리뷰에서 부정 신호가 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,high_negative_signal_samples
oliveyoung::A000000231315,oliveyoung,A000000231315,[1+1] 프리메라 마일드 앤 퍼펙트 클렌징 오일 투 폼 200ml 리필기획/단품,프리메라,cleansing,26000.0,건성,270,3.759259259259259,166,29,75,0.6148148148148148,0.10740740740740741,0.2777777777777778,14,6,0,8,0.42857142857142855,0.0,0.5714285714285714,참고 가능,,보습|미백|탄력|각질|트러블,2,True,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,limited_evidence,0.7,0.4,24.3,negative_review_first,False,True,선택 피부 타입 리뷰에서 부정 신호가 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,high_negative_signal_samples
oliveyoung::A000000193133,oliveyoung,A000000193133,브링그린 모델링 팩 28g [티트리 시카/대나무 히알루/슈퍼 레몬 글루타치온],브링그린,maskpack,4800.0,복합성,216,3.2824074074074074,112,25,79,0.5185185185185185,0.11574074074074074,0.36574074074074076,32,9,5,18,0.28125,0.15625,0.5625,비교적 신뢰 가능,,미백|주름|트러블|모공|각질,10,True,high_negative_signal,선택 피부 타입 리뷰에서 부정 반응 비율이 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,strong_evidence,1.0,0.5625,29.92,negative_review_first,False,True,선택 피부 타입 리뷰에서 부정 신호가 상대적으로 높습니다. 구매 전 부정 리뷰를 먼저 확인하세요.,high_negative_signal_samples
